listPrice,rent,livingArea,rooms,published,constructionYear,objectType,soldDate,soldPrice,soldPriceSource,floor,additionalArea,apartmentNumber,location.address.streetAddress,location.position.latitude,location.position.longitude,location.position.isApproximate,location.region.municipalityName,location.region.countyName,location.distance.ocean,source.url,price_per_sqm
2750000,3640.0,56.0,2.0,2015-01-16 16:54:44,1935.0,Lägenhet,2015-01-31,3050000,bid,2.0,,,Ekhagsvägen 5,59.37161719,18.05471583,,Stockholm,Stockholms län,186,http://www.notar.se/,54464.28571428572
3750000,3421.0,69.0,2.0,2016-09-02 17:37:26,,Lägenhet,2016-09-19,3750000,bid,1.0,,1103.0,Ekhagsvägen 4,59.3713881,18.0550922,True,Stockholm,Stockholms län,186,http://www.notar.se/,54347.82608695652
3475000,2965.0,64.0,2.0,2017-09-25 14:37:54,1968.0,Lägenhet,2017-11-01,3475000,bid,6.0,0.0,,Docentbacken 3,59.3709502,18.0586253,True,Stockholm,Stockholms län,264,http://www.karlssonuddare.se/,54296.875
3495000,3976.0,65.0,3.0,2014-09-26 20:02:26,1935.0,Lägenhet,2014-10-14,3525000,bid,1.0,,4816.0,Torphagsvägen 16,59.3720529,18.054052,True,Stockholm,Stockholms län,164,http://www.notar.se/,54230.769230769234
4750000,4537.0,92.0,3.0,2018-04-27 01:21:27,1935.0,Lägenhet,2018-05-16,4900000,bid,0.0,0.0,,Torphagsvägen 10,59.3723882,18.0524828,True,Stockholm,Stockholms län,181,http://www.notar.se/,53260.86956521739
2700000,2812.0,60.3,2.0,2015-02-13 10:28:35,1968.0,Lägenhet,2015-03-04,3200000,bid,5.0,,4621.0,Docentbacken 1B,59.3705635,18.0585287,True,Stockholm,Stockholms län,298,http://www.notar.se/,53067.99336650083
3975000,3324.0,79.2,3.0,2018-06-01 20:39:17,1968.0,Lägenhet,2018-06-16,4200000,bid,1.0,,1104.0,Docentbacken 5,59.3710473,18.0583678,True,Stockholm,Stockholms län,246,http://www.svenskfast.se/,53030.30303030303
3695000,2994.0,70.0,2.0,2015-10-09 11:24:14,1968.0,Lägenhet,2015-11-06,3695000,bid,,,,Docentbacken 1A,59.3705294,18.058738,True,Stockholm,Stockholms län,308,http://www.notar.se/,52785.71428571428
2750000,3184.0,57.0,2.0,2015-02-13 01:42:49,1935.0,Lägenhet,2015-02-26,3000000,bid,2.0,,1204.0,Ekhagsvägen 6,59.3715869,18.0552028,True,Stockholm,Stockholms län,184,http://www.karlssonuddare.se/,52631.57894736842
3995000,4467.0,73.0,3.0,2018-10-15 13:33:18,1935.0,Lägenhet,2018-11-08,3820000,bid,,,,Åminnevägen 19,59.37103271,18.0540565,,Stockholm,Stockholms län,260,http://www.mohv.se/,52328.767123287675
